Season,Lg,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OPTS
2019-20,NBA,LAC,44,20,2,27.4,5-Jun,213,64,241.2,41.6,89.7,0.464,12.2,33.2,0.366,29.5,56.5,0.522,20.8,26.2,0.792,11,37,48,23.8,7.1,5,14.8,22,116.2,109.7
2019-20,NBA,LAL,49,14,1,29.6,6-Jun,224,63,240.8,42.9,88.6,0.485,11.2,31.4,0.355,31.8,57.1,0.556,17.3,23.7,0.73,10.6,35.5,46.1,25.9,8.6,6.8,15.1,20.6,114.3,106.9
